chunk_id,section_idx,section_header,section_name,subsection_name,topic_positive_negative,subject,procedure,claim_sentence,cross_ref,start_line,end_line,page,preview,chunk_text
1,1,인트로/기타,,,"긍정:지급; 부정:취소,제한","회사,계약자",지급,"특히, 청약철회 계약취소 보험금 지급 및 지급제한 사항 등 , , 보험계약의 중요사항 // 에 대한 설명이 들어 있으니 반드시 확인하셔야 합니다",,1,15,1,[Page 1] 무배당 프로미라이프  [Page 2]   [Page 3] 1 보험약관이란? 보험약관은 가입하,"[Page 1]
무배당 프로미라이프

[Page 2]


[Page 3]
1 보험약관이란?
보험약관은 가입하신 보험계약의 내용 및 조건 등을 미리 정하여 놓은 계약조항으
로 보험계약자와 보험회사의 권리 및 의무를 규정하고 있습니다.
특히, 청약철회 계약취소 보험금 지급 및 지급제한 사항 등 , , 보험계약의 중요사항
에 대한 설명이 들어 있으니 반드시 확인하셔야 합니다.
2 한눈에 보는 약관의 구성
3 코드를 통한 편리한 정보이용 QR
코드 QR(Quick Response) 란?
스마트폰으로 해당 코드를 스캔하면 상세내용 등을 손쉽게 안내받을 수 있습니 QR"
2,2,다.,,,"긍정:지급,환급,수령; 부정:해지,무효,취소,제한","피보험자,회사,계약자",해지,"약관해설 영상 보험금 지급절차 전국 지점 // 회사로부터 약관을 수령한 후 해당 내용을 반드시 , 확인 숙지 · 하시기 바랍니다 // 보험금의 지급사유 ( ),",,17,67,4,다. 약관해설 영상 보험금 지급절차 전국 지점 약관 이용 가이드  [Page 4] 4 약관의 핵심 체크항목 ,"다.
약관해설 영상 보험금 지급절차 전국 지점
약관 이용
가이드

[Page 4]
4 약관의 핵심 체크항목 쉽게찾기 보통약관기준 ( )
보험약관 핵심사항 등과 관련된 해당 조문 쪽수 및 영상자료 , 등을 안내드리오니 ,
회사로부터 약관을 수령한 후 해당 내용을 반드시 , 확인 숙지 · 하시기 바랍니다.
1
보험금 지급 및
지급제한 사항
보험금의 지급사유 ( ),
보험금을 지급하지 않는 사유 ( )
p38,p38
가입한 특약을 확인하여 * 특약별 보험금의 지급사유 및 보험금을 지급하지 않는 사유도 반드시 확인할 필요
2 청약철회 청약의 철회 ( ) p45
3 계약 취소 약관교부 및 설명의무 등 ( ) p45
4 계약 무효 계약의 무효 ( ) p46
5 계약 전 알릴 의무
및 위반 효과
계약 전 알릴 의무 ( ),
알릴 의무 위반의 효과 ( )
p41,p43
6
계약 후 알릴 의무
및 위반 효과
계약 후 알릴 의무 ( )
알릴 의무 위반의 효과 ( )
p42,p43
7 보험료 연체 및 해지
보험료의 납입이 연체되는 (
경우 납입최고 독촉 와 ( )
계약의 해지 )
p50
8 부활 효력회복 ( )
보험료의 납입을 연체하여 (
해지된 계약의 부활 )
p50
9 해약환급금
계약자의 임의해지 및 (
피보험자의 서면동의 철회 )
해약환급금 ( )
p51
p52
10 보험계약대출 보험계약대출 ( ) p52

[Page 5]
5 약관을 쉽게 이용할 수 있는 방법
아래 가지 방법 7 을 활용하시면 약관을 보다 쉽고 편리하게 이용할 수 있습니다 .
시각화된 1. 약관 요약서 ‘ ’를 활용하시면 계약 일반사항 가입시 유의사항 민원 , ,
사례 등 약관을 보다 쉽게 이해하실 수 있습니다. ·············································· p11"
3,4,3. 가나다 색인 ‘ ’ 順 을 활용하시면 본인이 실제 가입한 특별약관을 쉽게 찾을 수,,,긍정:지급,,지급," 코드 QR 를 인식하면 약관해설 동영상 보험금 지급절차 전국 , ,",,71,75,,3. 가나다 색인 ‘ ’ 順 을 활용하시면 본인이 실제 가입한 특별약관을 쉽게 찾을 수 있습니다. ·····,"3. 가나다 색인 ‘ ’ 順 을 활용하시면 본인이 실제 가입한 특별약관을 쉽게 찾을 수
있습니다. ······························································································· p8
약관 내용 중 어려운 보험용어는 4. 프로미라이프 용어사전 약관 본문 안 , Box
예시 등을 참고하시면 약관 이해에 도움이 됩니다 . ··································· p29
스마트폰으로 5. 코드 QR 를 인식하면 약관해설 동영상 보험금 지급절차 전국 , ,
지점 등을 쉽게 안내받을 수 있습니다. ····················································· p3"
4,5,6. 약관에서 인용한 법규 ‘ ’를 활용하시면 약관에서 인용한 법률 조항 및 규정을,,조항,"긍정:지급,청구",,청구, 음영 컬러화 · 되거나 진하게 된 경우 보험금 지급 등 약관 주요 // 소비자가 반드시 알아두어야 할 유의사항  // 보험금 청구시 준비하셔야 할 서류 ,,77,159,6,6. 약관에서 인용한 법규 ‘ ’를 활용하시면 약관에서 인용한 법률 조항 및 규정을 자세히 알 수 있습니다.,"6. 약관에서 인용한 법규 ‘ ’를 활용하시면 약관에서 인용한 법률 조항 및 규정을
자세히 알 수 있습니다. ······································································· p202
약관조항 등이 7. 음영 컬러화 · 되거나 진하게 된 경우 보험금 지급 등 약관 주요
내용이므로 주의 깊게 읽기 바랍니다.
6 기타문의 사항
기타 문의사항은 당사 ※ 홈페이지(www.idbins.com), 고객 콜센터(1588-0100 로 )
문의 가능
보험상품 거래단계별 필요한 금융꿀팁 또는 핵심정보 등은 ※ 금융감독원 금융소비
자정보 포탈(FINE.fine.fss.or.kr 에서 확인 가능 )

[Page 6]
6
약관 요약서 ································································································· 11
소비자가 반드시 알아두어야 할 유의사항 . Ⅰ ···································· 12
계약의 일반사항 . Ⅱ ··············································································· 16
보험금 청구시 준비하셔야 할 서류 . Ⅲ ··············································· 19
자주 발생하는 민원 예시 . Ⅳ ································································ 25
신용정보 제공 활용에 대한 고객 권리 안내문 . Ⅴ ․ ································ 27
프로미라이프 용어사전 . Ⅵ ······································································ 29
프로미라이프 지식백과 . Ⅶ ······································································ 32
보통약관
제 절 공통조항 1 ··························································································· 36
제 관 목적 및 용어의 정의 1 ····················"
5,5,6. 약관에서 인용한 법규 ‘ ’를 활용하시면 약관에서 인용한 법률 조항 및 규정을,,조항,"긍정:지급,환급,청구,변경",,청구,제 관 보험금의 지급 2 ···················································································· 37 // 보험금의 지급사유 3 // 보험금 지급에 관한 세부규정 4,,77,159,7,·························································· 3,"·························································· 36
제 관 목적 및 용어의 정의 1 ······································································· 36
목적 1. ······································································································ 36
용어의 정의 2. ··························································································· 36
제 관 보험금의 지급 2 ···················································································· 37
보험금의 지급사유 3. ··················································································· 38
보험금 지급에 관한 세부규정 4. ··································································· 38
보험금을 지급하지 않는 사유 5. ··································································· 38
보험금 지급사유의 통지 6. ··········································································· 39
보험금의 청구 7. ························································································· 39
보험금의 지급절차 8. ··················································································· 39
만기환급금의 지급 9. ··················································································· 40
보험금 받는 방법의 변경 10. ·····························"
6,5,6. 약관에서 인용한 법규 ‘ ’를 활용하시면 약관에서 인용한 법률 조항 및 규정을,,조항,"긍정:성립,유지,변경","보험수익자,계약자",변경,················································· 40 // 보험금 받는 방법의 변경 10 //  ······································································· 40,,77,159,7,················································· 40 보험금 받는 ,"················································· 40
보험금 받는 방법의 변경 10. ······································································· 40
주소변경통지 11. ························································································· 41
보험수익자의 지정 12. ················································································· 41
대표자의 지정 13. ······················································································· 41
제 관 계약자의 계약 전 알릴 의무 등 3 ······················································· 41
계약 전 알릴 의무 14. ················································································· 41
계약 후 알릴 의무 15. ················································································· 42
알릴 의무 위반의 효과 16. ·········································································· 43
사기에 의한 계약 17. ··················································································· 44
제 관 보험계약의 성립과 유지 4 ···································································· 44
보험계약의 성립 18. ···················································································· 44
청약의 철회 19. ··································································"
7,5,6. 약관에서 인용한 법규 ‘ ’를 활용하시면 약관에서 인용한 법률 조항 및 규정을,,조항,"긍정:보장,변경; 부정:해지,무효,소멸",회사,해지,제 회 보험료 및 회사의 보장개시 25 // 보험료의 납입이 연체되는 경우 납입최고 독촉 와 계약의 해지 28 // 보험료의 납입을 연체하여 해지된 계약의 부활 효력회복 29,,77,159,7,··················· 44 청약의 철회 19. ··························,"··················· 44
청약의 철회 19. ··························································································· 45
약관교부 및 설명의무 등 20. ······································································· 45
계약의 무효 21. ··························································································· 46
계약내용의 변경 등 22. ··············································································· 47
보험나이 등 23. ··························································································· 48
계약의 소멸 24. ··························································································· 48
목차

[Page 7]
무배당 프로미라이프 다이렉트 펫블리 반려견보험2508(CM)
7
제 관 보험료의 납입 5 ···················································································· 49
제 회 보험료 및 회사의 보장개시 25. 1 ·························································· 49
제 회 이후 보험료의 납입 26. 2 ····································································· 49
보험료의 자동대출납입 27. ··········································································· 49
보험료의 납입이 연체되는 경우 납입최고 독촉 와 계약의 해지 28. ( ) ················ 50
보험료의 납입을 연체하여 해지된 계약의 부활 효력회복 29. ( ) ························ 50
강제집행 등으"
8,5,6. 약관에서 인용한 법규 ‘ ’를 활용하시면 약관에서 인용한 법률 조항 및 규정을,,조항,"긍정:지급,환급; 부정:해지","피보험자,회사,계약자",해지,보험료의 납입을 연체하여 해지된 계약의 부활 효력회복 29 // 강제집행 등으로 인한 해지계약의 특별부활 효력회복 30 // 제 관 계약의 해지 및 해지환급금 등 6 ························································· 51,,77,159,7,8. ( ) ················ 50 보험료의 납입을 연체하여 해지된 계약의 부활 효력회복 29.,"8. ( ) ················ 50
보험료의 납입을 연체하여 해지된 계약의 부활 효력회복 29. ( ) ························ 50
강제집행 등으로 인한 해지계약의 특별부활 효력회복 30. ( ) ····························· 51
제 관 계약의 해지 및 해지환급금 등 6 ························································· 51
계약자의 임의해지 및 피보험자의 서면동의 철회 31. ···································· 51
중대사유로 인한 해지 32. ············································································ 52
회사의 파산선고와 해지 33. ········································································· 52
위법계약의 해지 34. ···················································································· 52
해약환급금 35. ···························································································· 52
보험계약대출 36. ························································································· 52
배당금의 지급 37. ······················································································· 52
공시이율의 적용 및 공시 38. ······································································· 52
중도인출금 39. ···························································································· 53
제 관 분쟁조정 등 7 ····································································"
9,5,6. 약관에서 인용한 법규 ‘ ’를 활용하시면 약관에서 인용한 법률 조항 및 규정을,,조항,"긍정:보장,지급; 부정:소멸",회사,지급,예금보험에 의한 지급보장 48,,77,159,7,··············· 53 제 관 분쟁조정 등 7 ····························,"··············· 53
제 관 분쟁조정 등 7 ······················································································· 53
분쟁의 조정 40. ··························································································· 53
관할법원 41. ······························································································· 53
소멸시효 42. ······························································································· 53
약관의 해석 43. ··························································································· 54
설명서 교부 및 보험안내자료 등의 효력 44. ················································· 54
회사의 손해배상책임 45. ·············································································· 54
개인정보보호 46. ························································································· 54
준거법 47. ··································································································· 54
예금보험에 의한 지급보장 48. ······································································ 54
특별약관
제 장 상해관련 1"
10,6,1. 반려동물 양육자금 상해사망시 특별약관 ( ) Ⅰ ········································,,,긍정:지급,,갱신,상해수술비 동일사고당 회지급 특별약관 2,,161,168,,1. 반려동물 양육자금 상해사망시 특별약관 ( ) Ⅰ ······························,"1. 반려동물 양육자금 상해사망시 특별약관 ( ) Ⅰ ················································· 58
상해수술비 동일사고당 회지급 특별약관 2. ( 1 ) ··················································· 58
상해흉터복원수술비 특별약관 3. Ⅱ ·································································· 60
창상봉합술 일 회한 연간 회한 특별약관 4. (1 1 , 3 ) ·················································· 61
창상봉합술 안면부 일 회한 연간 회한 특별약관 5. ( )(1 1 , 3 ) ··································· 62
반려동물위탁비용 반려인상해입원 일이상 일한도 실손 갱신형 특별약관 6. ( 1 30 )( )( ) 63
반려동물위탁비용 반려인상해입원후상급종합병원통원 실손 갱신형 7. ( )( )( )
특별약관 ································································································· 65
제 장 질병관련 2"
11,7,1. 반려동물 양육자금 질병사망시 특별약관 ( ) Ⅱ ········································,,,부정:제외,,갱신,개물림사고 벌금 실손 맹견제외 갱신형 특별약관 5 // 개물림사고 벌금 동물보호법 실손 맹견제외 갱신형 특별약관 6 // 반려동물 개물림사고 행동교정훈련비 맹견제외 실손 갱신형 특별약관 7,,170,186,,1. 반려동물 양육자금 질병사망시 특별약관 ( ) Ⅱ ······························,"1. 반려동물 양육자금 질병사망시 특별약관 ( ) Ⅱ ················································· 72
반려동물위탁비용 반려인질병입원 일이상 일한도 실손 갱신형 특별약관 2. ( 1 30 )( )( ) 72
반려동물위탁비용 반려인질병입원후상급종합병원통원 실손 갱신형 3. ( )( )( )
특별약관 ································································································· 75
제 장 상해 및 질병관련 3
깁스치료비 1. 상해및질병 특별약관 ( ) ······························································· 80
제 장 비용손해관련 4
민사소송법률비용손해 실손 1. ( ) 특별약관 ······················································· 82
제 장 반려동물관련 5
반려동물 장례지원비 갱신형 특별약관 1. ( ) ······················································ 88
반려동물 장례지원비 실손 갱신형 특별약관 2. ( )( ) Ⅱ ······································· 100
반려동물 배상책임 대물포함 실손 갱신형 특별약관 3. ( )( )( ) Ⅱ ··························· 103
맹견 배상책임 실손 갱신형 특별약관 4. ( )( ) ···················································· 108
개물림사고 벌금 실손 맹견제외 갱신형 특별약관 5. ( )( )( ) ·································· 113
개물림사고 벌금 동물보호법 실손 맹견제외 갱신형 특별약관 6. ( )( )( )( ) ··············· 116
반려동물 개물림사고 행동교정훈련비 맹견제외 실손 갱신형 특별약관 7. ( )( )( ) ··· 118
제 장 반려동물의료비 관련 6
반려동물 의료비 실손 1. ( ) Ⅴ 특별약관 ··························································· 124"
12,9,"3. 반려동물 의료비 내시경 검사시 보장금액확대 연간 회한 실손 (MRI,CT, )( 1 )( ) Ⅴ",,,긍정:보장,,," 반려동물 의료비 내시경 검사시 보장금액확대 연간 회한 실손 (MRI,CT, )( 1 )( ) Ⅴ //  Ⅴ 치과및구강질환 확장보장 실손 특별약관 ( ) ··················· 142 //  Ⅴ 특정피부약물치료 확장보장 실손 특별약관 ( ) ················ 143",,189,195,8,"3. 반려동물 의료비 내시경 검사시 보장금액확대 연간 회한 실손 (MRI,CT, )( 1 )( ) Ⅴ 특별약","3. 반려동물 의료비 내시경 검사시 보장금액확대 연간 회한 실손 (MRI,CT, )( 1 )( ) Ⅴ
특별약관 ································································································ 140
반려동물 의료비 4. Ⅴ 치과및구강질환 확장보장 실손 특별약관 ( ) ··················· 142
반려동물 의료비 5. Ⅴ 특정피부약물치료 확장보장 실손 특별약관 ( ) ················ 143
반려동물 의료비 실손 특별약관 6. ( ) Ⅵ ··························································· 143

[Page 8]
8"
