chunk_id,section_idx,section_header,section_name,subsection_name,topic_positive_negative,subject,procedure,claim_sentence,cross_ref,start_line,end_line,page,preview,chunk_text
1,1,인트로/기타,,,긍정:지급,,지급, 소비자가 반드시 알아두어야 할 유의사항 ······································17 // 보험금 지급절차 안내 ·························,,1,33,1,[Page 1] KB 다이렉트 금쪽같은 펫보험(강아지) (무배당)(25.05) 약관 ※ 2025년 9월 1일,"[Page 1]
KB 다이렉트
금쪽같은 펫보험(강아지)
(무배당)(25.05) 약관
※ 2025년 9월 1일부터 적용
KB손해보험이 그린 <GREEN 지구 캠페인>
KB손해보험과 고객이 함께 만들어가는 내일! 종이약관 대신 모바일약관으로 시작하세요.
이 약관은 「금융소비자보호에 관한 법률」 에 의거 내부 통제 절차를 거쳐 제공됩니다.
보종 24837 | 장기상품개발파트 2025년 9월 제작

[Page 2]


[Page 3]
목 차
약관 이용 가이드북 / 요약서
약관 이용 가이드북 ················································································9
약관 요약서 ·························································································15
Ⅰ. 보험계약의 개요 ···········································································16
Ⅱ. 소비자가 반드시 알아두어야 할 유의사항 ······································17
Ⅲ. 보험계약의 일반사항 ····································································25
공통사항
보험약관 이해하기 ··············································································35
보험용어 해설 ·····················································································37
주요내용 요약서 ·················································································39
가입자 유의사항 ·················································································43
자주 발생하는 민원 ············································································48
보험금 지급절차 안내 ·························"
2,1,인트로/기타,,,"긍정:지급,청구",,청구,보험금 지급절차 안내 ·········································································50 // 보험금 청구서류 안내 ·········································································54,,1,33,3,····························································,"····························································48
보험금 지급절차 안내 ·········································································50
보험금 청구서류 안내 ·········································································54
개인신용정보 제공이용에 대한 고객 권리 안내 ····································71
고객정보 취급방침 ··············································································74
보통약관
제 1 절 일반조항 ···················································································80
제 1 관 목적 및 용어의 정의 ·································································80"
3,53,제51조(예금보험에 의한 지급보장) ··················································,제51조,,"긍정:보장,지급",,지급,제51조(예금보험에 의한 지급보장) ····················································111 // 제 2 절 보통약관의 보장 ······································································112,제51조,97,102,6,제51조(예금보험에 의한 지급보장) ········································,"제51조(예금보험에 의한 지급보장) ····················································111
제 2 절 보통약관의 보장 ······································································112
일반상해80%이상후유장해 ····································································112

[Page 6]
특별약관
제 1 장 상해 관련 특별약관"
4,73,6. 반려동물 특정 질병 보장제한부 인수 ············································203,,,"긍정:보장,지급; 부정:제한",,지급, 반려동물 특정 질병 보장제한부 인수 ············································203 // 【별표2】보험금을 지급할 때의 적립이율 계산 ···································236,,131,207,7,6. 반려동물 특정 질병 보장제한부 인수 ·····································,"6. 반려동물 특정 질병 보장제한부 인수 ············································203

[Page 7]
별표
【별표1】장해분류표 ·········································································206
【별표2】보험금을 지급할 때의 적립이율 계산 ···································236
【별표3】반려동물(강아지) 특정 질병 분류표 ····································237
약관에서 인용된 법·규정
【법규1】개인정보 보호법 ·································································241
【법규2】개인정보 보호법 시행령 ······················································244
【법규3】공직선거법 ·········································································245
【법규4】도로교통법 ·········································································246
【법규5】민법 ···················································································248
【법규6】민사소송법 ·········································································249
【법규7】상법 ···················································································251
【법규8】상법 시행령 ········································································251
【법규9】소비자기본법 ······································································252
【법규10】신용정보의 이용 및 보호에 관한 법률 ·······························252
【법규11】의료법 ··························"
5,73,6. 반려동물 특정 질병 보장제한부 인수 ············································203,,,긍정:보상,,,【법규10】신용정보의 이용 및 보호에 관한 법률 ·······························252 // 【법규11】의료법 ··············································································257 // 【법규12】자동차관리법 시행규칙 ······················································263,,131,207,8,2 【법규10】신용정보의 이용 및 보호에 관한 법률 ·······························,"2
【법규10】신용정보의 이용 및 보호에 관한 법률 ·······························252
【법규11】의료법 ··············································································257
【법규12】자동차관리법 시행규칙 ······················································263
【법규13】전자서명법 ········································································266
【법규14】형법 ·················································································267
【법규15】금융소비자 보호에 관한 법률 ············································268
【법규16】호스피스·완화의료 및 임종과정에 있는 환자의
연명의료결정에 관한 법률 ·················································273
【법규17】폭력행위 등 처벌에 관한 법률 ···········································274
【법규18】국민건강보험 요양급여의 기준에 관한 규칙 ·······················275
【법규19】산업재해보상보험법 시행규칙 ············································279
【법규20】동물보호법 ········································································280
【법규21】동물보호법 시행규칙 ·························································282
특별약관 색인 ····················································································283

[Page 8]


[Page 9]
약관을 쉽게 이용할 수 있는
약관 이용 Guide Book
약관 이용 가이드 북
※ 同Guide Book은 보험약관의 개념 및 구성 등을 간략하게
소개하고, 소비자 입장에서 약관 주요내용 등을 쉽게 찾고
이해할 수 있는 방법을 안내하는 것을 목적으로 "
6,73,6. 반려동물 특정 질병 보장제한부 인수 ············································203,,,"긍정:보장,지급,수령; 부정:취소,제한","회사,계약자",지급,"특히, 청약철회, 계약취소, 보험금 지급 및 지급제한 사항 등 보험계약의 중요 // 사항에 대한 설명이 들어 있으니 반드시 확인하셔야 합니다 // 특별약관 : 보통약관에 정한 사항 외에 선택하여 가입한 보장내용",,131,207,10,"이드 북 ※ 同Guide Book은 보험약관의 개념 및 구성 등을 간략하게 소개하고, 소비자 입장에서 약관 ","이드 북
※ 同Guide Book은 보험약관의 개념 및 구성 등을 간략하게
소개하고, 소비자 입장에서 약관 주요내용 등을 쉽게 찾고
이해할 수 있는 방법을 안내하는 것을 목적으로 함

[Page 10]
-10-
01 보험약관이란?
보험약관은 가입하신 보험계약의 내용 및 조건 등을 미리 정하여 놓은 계약
조항으로 보험계약자와 보험회사의 권리 및 의무를 규정하고 있습니다.
특히, 청약철회, 계약취소, 보험금 지급 및 지급제한 사항 등 보험계약의 중요
사항에 대한 설명이 들어 있으니 반드시 확인하셔야 합니다.
02 한 눈에 보는 약관의 구성
약관 이용 가이드북
약관을 쉽게 잘 이용할 수 있도록 약관의 구성, 쉽게 찾는 방법
등의 내용을 담고 있는 지침서
쉽게 이해하는
약관 요약서
약관을 쉽게 이해할 수 있도록 계약 주요내용 및 유의사항 등을
시각적 방법을 이용하여 간단 요약한 약관
보통약관 및 특별약관
보통약관 : 기본계약을 포함한 공통사항을 정한 기본약관
특별약관 : 보통약관에 정한 사항 외에 선택하여 가입한 보장내용
등의 필요한 사항을 정한 약관
용어해설 및 색인 등
약관의 이해를 돕기 위한 어려운 보험용어의 해설, 가나다 順
특약 색인, 관련 법규 등을 소비자에게 안내
03 QR코드를 통한 편리한 정보 이용
QR(Quick Response)코드란?
스마트폰으로 해당 QR코드를 스캔하면
상세내용 등을 손쉽게 안내받을 수 있습니다.

[Page 11]
-11-
04 약관의 핵심 체크항목 쉽게 찾기(보통약관 기준)
보험약관 핵심사항 등과 관련된 해당 조문, 쪽수 및 영상자료 등을 안내드리오니,
보험회사로부터 약관을 수령한 후, 해당 내용을 반드시 확인ㆍ숙지하시기 바랍
니다.
영상자료
➊ 보험금 지급 및 지급제한 사항"
7,87,제35조 (보험계약대출) P106,제35조,,"긍정:보장,지급; 부정:제외",회사,지급,"※ 주 계약에 부가된 특약은 자유롭게 선택, 가입(의무특약 제외)할 // 수 있고 가입한 특약에 한해 보장받을 수 있음 // 보험금 지급절차, 전국 지점 등을 쉽게 안내 받을 수",제35조,258,707,13,제35조 (보험계약대출) P106  [Page 13] -13- 05 약관을 쉽게 이용할 수 있는 꿀팁 아래 ,"제35조 (보험계약대출) P106

[Page 13]
-13-
05 약관을 쉽게 이용할 수 있는 꿀팁
아래 7가지 꿀팁을 활용하시면 약관을 보다 쉽고 편리하게 이용할 수 있습니다.
01
시각화된 ‘약관요약서’를 활용하시면 계약 일반사항,
가입시 유의사항, 민원사례 등 약관을 보다 쉽게
이해하실 수 있습니다.
약관 요약서 P15
02
‘약관 핵심 체크항목 쉽게 찾기’를 이용하시면 약관내용
중 핵심적인 권리 및 의무관계를 보다 쉽게 찾을 수
있습니다.
핵심 체크항목 P11
03
‘가나다 順 특약 색인(索引)’을 활용하시면 본인이 실제
가입한 특약 약관을 쉽게 찾을 수 있습니다.
※ 주 계약에 부가된 특약은 자유롭게 선택, 가입(의무특약 제외)할
수 있고 가입한 특약에 한해 보장받을 수 있음
특약 색인 P283
04
약관 내용 중 어려운 보험용어는 용어해설, 약관본문
Box안 예시 등을 참고하시면 약관 이해에 도움이
됩니다.
용어 해설 P37
05
스마트폰으로 QR코드를 인식하면 약관해설 동영상,
보험금 지급절차, 전국 지점 등을 쉽게 안내 받을 수
있습니다.
QR코드 P10
06
‘약관에서 인용된 법ㆍ규정’ 항목을 활용하시면
약관에서 인용한 법률 조항 및 규정을 자세히 알 수
있습니다.
관련법규 P241
07
약관조항 등이 음영ㆍ컬러화 되거나 진하게 된 경우 보험금 지급 등 약관 주요
내용이므로 주의 깊게 읽기 바랍니다.
06 기타 문의사항
※ 기타 문의사항은 당사 홈페이지(www.kbinsure.co.kr),
고객 콜센터(1544-0114)로 문의 가능
※ 보험상품 거래단계별 필요한 금융꿀팁 또는 핵심정보 등은 금융감독원
금융소비자정보 포탈(FINE, fine.fss.or.kr)에서 확인 가능

[Page 14]


[Page 15]
쉽게 이해하는
약관 요약서
쉽게 이해하는 약관 요약서
이 요약서는 그림ㆍ도표ㆍ아이콘ㆍ삽화 등 시각화된 자료를 바탕으로
보험상품 및 약관의 핵심내용을 알기 쉽게 작성한 것입니다.
보다 자세한 사항은 상품설명서 및 약관을 반드시 확인하시기 바랍니다.
※ 이 요약서의 내용을 이해하지 못하고 보험에 가입할 경우 불이익을
받을 수 있으므로, 同 내용을 반드시 이해하시고 계약체결 여부를
결정하시기 바랍니다.

[Page 16]
01 상품의 주요 특징
02 ‘상품명’으로 상품의 특징 이해하기
-16-
Ⅰ. 보험계약의 개요
보험회사명
KB손해보험
보험상품명
KB 다이렉트 금쪽같은 펫보험
(강아지)"
8,87,제35조 (보험계약대출) P106,제35조,,"긍정:보장,지급; 부정:면책,제외,제한","회사,계약자",갱신,로 인한 위험을 주로 보장하 //  소비자가 반드시 알아두어야 할 유의사항 // 01 보험금 지급제한사항,,258,707,17,e 16] 01 상품의 주요 특징 02 ‘상품명’으로 상품의 특징 이해하기 -16- Ⅰ. 보험계약의 개요 보,"e 16]
01 상품의 주요 특징
02 ‘상품명’으로 상품의 특징 이해하기
-16-
Ⅰ. 보험계약의 개요
보험회사명
KB손해보험
보험상품명
KB 다이렉트 금쪽같은 펫보험
(강아지)(무배당)(25.05)
보험상품의 종목
상해보험
◎ 이 상품은 인터넷을 통해 상해담보를 기본으로 사망, 배상
책임, 비용손해 등 다양한 담보를 가입할 수 있는 상품입니다.
보장성보험
(사망, 상해, 질병 등)
보험료갱신형
예금자 보호
KB 다이렉트 금쪽같은 펫보험(강아지)(무배당)(25.05)
➊ 무배당
계약자에게 배당을 하지 않는
상품입니다.
➋ 펫보험
반려동물의 상해 또는 질병으
로 인한 위험을 주로 보장하
는 상품입니다.
➌ 다이렉트
인터넷을 통하여 가입 가능
한 상품이며, 대면 상품 대
비 사업비가 절감되어 보험
료가 저렴합니다.

[Page 17]
-17-
Ⅱ. 소비자가 반드시 알아두어야 할 유의사항
01 보험금 지급제한사항
이 보험에는 면책기간, 보장한도 및 자기부담금 등 보험금
지급제한 조건이 부가되어 있습니다.
보다 자세한 사항은 상품설명서 및 약관을 참조하시기 바랍니다.
면책기간
면책기간
보험금
미지급
이 보험에는 보험금이 지급되지 않는
기간(면책기간)이 설정된 담보가 있습니다.
면책기간 적용 담보
담보명 면책기간
반려동물의료비(강아지)
가입후 30일간 보장제외
- 단, 상해는 제외
반려동물의료비확장보장Ⅱ
(MRI/CT, 연간 1회한)(강아지)
반려동물의료비확장보장Ⅱ
(특정재활치료, 연간 5회한)(강아지)
반려동물의료비확장보장
(슬관절/고관절 탈구 및 치과/구강질환)(강아지)
가입후 30일간 보장제외
- 단, 상해는 제외
- 슬관절탈구, 고관절탈구,
슬관절형성부전,
고관절형성부전 또는 기타
이들과 유사한 사고의 경우
가입후 1년간 보장제외

[Page 18]
-18-
담보명 면책기간
반려동물의료비확장보장Ⅱ
(백내장/녹내장 수술, 연간 1회한)(강아지)
가입후 90일간 보장제외
- 단, 상해는 제외
반려동물의료비확장보장Ⅱ
(특정약물치료, 연간 6회한)(강아지)
무지개다리위로금(강아지, 사망)【갱신계약】
가입후 30일간 보장 제외
반려동물장례비용지원금(실손)(30일면책)
(강아지)【갱신계약】

[Page 19]
-19-
보장한도
보장한도
최초1회한/
연간1회한/
2회한/3회한/
5회한/6회한
보장한도
180일한도
보장한도
5/10/15/20/30/
50/70/100/
150/200
/250/300/1,000/
2,000만원"
9,87,제35조 (보험계약대출) P106,제35조,,"긍정:보장,지급; 부정:면책",,갱신,"이 보험에는 보험금 지급한도가 // 반려동물의료비확장보장Ⅱ(MRI/CT, // 반려동물의료비확장보장Ⅱ(백내장/녹내장 수술,",,258,707,20,/ 연간1회한/ 2회한/3회한/ 5회한/6회한 보장한도 180일한도 보장한도 5/10/15/20/30/ 50,"/
연간1회한/
2회한/3회한/
5회한/6회한
보장한도
180일한도
보장한도
5/10/15/20/30/
50/70/100/
150/200
/250/300/1,000/
2,000만원
이 보험에는 보험금 지급한도가
설정된 담보가 있습니다.
보장한도 적용 담보
담보명 보장한도
반려동물양육자금Ⅰ(일반상해사망) 1회한
반려동물의료비확장보장Ⅱ(MRI/CT,
연간 1회한)(강아지)
연간 1회한
1회당 100만원 한도
반려동물의료비확장보장Ⅱ(백내장/녹내장 수술,
연간 1회한)(강아지)
연간 1회한
1회당 50만원 한도
반려동물의료비확장보장Ⅱ(특정처치(이물제거),
연간 2회한)(강아지)
연간 2회한
[이물제거(내시경)]
1회당 200만원 한도
[이물제거(구토유도약물)]
1회당 20만원 한도
반려동물의료비확장보장Ⅱ(특정약물치료,
연간 6회한)(강아지)
연간 6회한
1회당 10만원 한도
반려동물의료비확장보장Ⅱ(특정재활치료,
연간 5회한)(강아지)
연간 5회한
1회당 5만원 한도
반려동물의료비확장보장Ⅱ(창상/교상치료,
연간 1회한)(강아지)
연간 1회한
1회당 70만원 한도
반려동물장례비용지원금(실손)(30일면책)
(강아지)【갱신계약】
1회한
반려동물배상책임(강아지)【갱신계약】 1사고당 1,000만원 한도
무지개다리위로금(강아지, 사망)【갱신계약】 1회한
반려동물 위탁비용(반려인 상해입원 1일이상
180일한도)(실손)(강아지)【갱신계약】
1회 입원당 180일 한도

[Page 20]
-20-
담보명 보장한도
반려동물의료비(강아지)
<실속형>
[1일당 한도]
수술을 하지 않은 경우 : 10만원
수술을 한 경우 : 150만원
[연간 한도]
1,000만원
<기본형Ⅰ>
[1일당 한도]
수술을 하지 않은 경우 : 15만원
수술을 한 경우 : 200만원
[연간 한도]
1,000만원
<기본형Ⅱ>
[1일당 한도]
수술을 하지 않은 경우 : 15만원
수술을 한 경우 : 250만원
[연간 한도]
2,000만원
<고급형Ⅰ>
[1일당 한도]
수술을 하지 않은 경우 : 30만원
수술을 한 경우 : 250만원
[연간 한도]
2,000만원
<고급형Ⅱ>
[1일당 한도]
수술을 하지 않은 경우 : 30만원
수술을 한 경우 : 300만원
[연간 한도]
2,000만원
반려동물의료비확장보장(슬관절/고관절 탈구
및 치과/구강질환)(강아지)

[Page 21]
-21-
자기부담금 차감
자기부담금
차감 후 지급
이 보험에서는 아래 담보에 대해 일정금액의 자기부담금
을 차감"
10,87,제35조 (보험계약대출) P106,제35조,,"긍정:보장,지급,보상,환급,유지; 부정:면책,해지","회사,계약자",해지,을 차감하고 보험금을 지급합니다 // 반려동물의료비확장보장(슬관절/고관절 탈구 // 반려동물의료비확장보장Ⅱ,,258,707,21,슬관절/고관절 탈구 및 치과/구강질환)(강아지)  [Page 21] -21- 자기부담금 차감 자기부담금 차감,"슬관절/고관절 탈구
및 치과/구강질환)(강아지)

[Page 21]
-21-
자기부담금 차감
자기부담금
차감 후 지급
이 보험에서는 아래 담보에 대해 일정금액의 자기부담금
을 차감하고 보험금을 지급합니다.
자기부담금을 차감하는 담보
담보명 자기부담금 차감 금액
반려동물의료비(강아지)
보험증권에 기재된 자기부담금 공제
반려동물의료비확장보장(슬관절/고관절 탈구
및 치과/구강질환)(강아지)
반려동물의료비확장보장Ⅱ
(MRI/CT, 연간 1회한)(강아지)
반려동물의료비확장보장Ⅱ
(백내장/녹내장 수술, 연간 1회한)(강아지)
반려동물의료비확장보장Ⅱ
(특정처치(이물제거), 연간 2회한)(강아지)
반려동물의료비확장보장Ⅱ
(특정약물치료, 연간 6회한)(강아지)
반려동물의료비확장보장Ⅱ
(특정재활치료, 연간 5회한)(강아지)
반려동물의료비확장보장Ⅱ
(창상/교상치료, 연간 1회한)(강아지)
반려동물배상책임(강아지)【갱신계약】 1사고당 3만원 공제

[Page 22]
-22-
02 갱신 시 보험료 인상 가능성
▶ 이 보험에는 갱신 시 보험료가 변동되는 갱신
형 계약이 포함되어 있습니다.
갱신형 계약은 갱신할 때마다 연령의 증가,
위험률 변동 등으로 보험료가 인상될 수 있으
니 주의하시기 바랍니다.
갱신시 보험료가 인상될 수 있는 담보
03 해약환급금에 관한 사항
▶ 보험계약자가 보험계약을 중도에 해지할 경우 보험회사는 해약
환급금을 지급합니다.
① 해약환급금은 납입한 보험료보다 적거나 없을 수도 있습니다.
※ 해약환급금 : 납입한 보험료에서 계약체결·유지관리 등에 소요되는 경비 및
경과된 기간의 위험보장에 사용된 보험료를 차감하여 지급합니다.
담보명 담보명
반려동물배상책임(강아지)【갱신계약】
반려동물장례비용지원금(실손)(30일면책)
(강아지)【갱신계약】
반려동물 위탁비용
(반려인 상해입원 1일이상 180일한도)
(실손)(강아지)【갱신계약】
무지개다리위로금(강아지, 사망)【갱신계약】

[Page 23]
-23-
04 실손보상형 담보
실손형담보
(중복가입 부적절)
비례보상
▶ 이 보험에는 실제 발생한 손해를 보상(실손보
상)하는 담보가 포함되어 있습니다.
① 동일한 위험을 보장하는 2개 이상의 계약에
중복 가입하더라도 실제 발생한 손해(비용)을
초과하여 보험금을 지급하지 않습니다. (중복
가입 시 비례 보상)
② 동일한 위험을 보장하는 여러 개의 실손보상
형 담보에 가입하여 불필요하게 보험료를 납
입하지 않도록 주의하시기 바랍니다.
실손"
