chunk_id,section_idx,section_header,section_name,subsection_name,topic_positive_negative,subject,procedure,claim_sentence,cross_ref,start_line,end_line,page,preview,chunk_text
1,1,인트로/기타,,,,,,삼성화재 이 약관은 금융소비자보호법 및 소비자보호 내부통제기준에 따른 절차를 거쳐 제공됩니다 // 무 배당 삼성화재 펫보험 // 2 0 2 5 년 9 월 1 일 부 터 적 용,,1,18,1,[Page 1] 삼성화재 이 약관은 금융소비자보호법 및 소비자보호 내부통제기준에 따른 절차를 거쳐 제공됩니다,"[Page 1]
삼성화재 이 약관은 금융소비자보호법 및 소비자보호 내부통제기준에 따른 절차를 거쳐 제공됩니다. 보험약관
위풍댕댕
무 배당 삼성화재 펫보험
2 5 0 5 . 8
2 0 2 5 년 9 월 1 일 부 터 적 용

[Page 2]


[Page 3]
2 / 227
[ 목 차 ]
약관이용 Guide Book 6
쉽게 이해하는 상품 및 약관 요약서 9
자주 발생하는 민원 예시 25
보험용어 해설 28
개인신용정보 제공·이용에 대한 고객 권리 안내문 30
보통약관 31"
2,112,1. 상해 관련 특별약관 68,,,긍정:보장; 부정:제외,,," 골절 진단비(치아 파절(깨짐, 부러짐) 제외) 특별약관 71 //  강력범죄피해보장(범죄유형별) 특별약관 86",,144,155,,1. 상해 관련 특별약관 68 1-1. 상해 후유장해(3~100%) 특별약관 69 1-2. 골절 진단비(치아,"1. 상해 관련 특별약관 68
1-1. 상해 후유장해(3~100%) 특별약관 69
1-2. 골절 진단비(치아 파절(깨짐, 부러짐) 제외) 특별약관 71
1-3. 5대골절 진단비 특별약관 72
1-4. 응급의료 아나필락시스 진단비(연간1회한) 특별약관 73
1-5. 상해 입원ㆍ통원 수술비 특별약관 75
1-6. 상해 골절 수술비 특별약관 77
1-7. 5대골절 수술비 특별약관 79
1-8. 상해흉터복원(성형) 수술비 특별약관 81
1-9. 안면부 상해흉터복원(성형) 수술비 특별약관 83
1-10. 상해 입원일당(1일이상) 특별약관 85
1-11. 강력범죄피해보장(범죄유형별) 특별약관 86
1-12. 반려동물 양육자금Ⅰ 특별약관 88"
3,118,특별약관 127,,,"긍정:보장,지급,청구; 부정:제외,취소,제한","회사,계약자",청구, 특정 신체부위·질병 보장제한부 인수 특별약관 136 //  지정대리청구서비스Ⅱ 특별약관 140 // [별표1] 보험금을 지급할 때의 적립이율 계산 143,,178,248,6,특별약관 127 제도성 특별약관 129 5-1. [갱신형] 특별약관의 자동갱신 특별약관 131  [Page ,"특별약관 127
제도성 특별약관 129
5-1. [갱신형] 특별약관의 자동갱신 특별약관 131

[Page 6]
5 / 227
5-2. 이륜자동차 운전 및 탑승 중 상해 부담보 특별약관 133
5-3. 특별조건부 특별약관 134
5-4. 특정 신체부위·질병 보장제한부 인수 특별약관 136
5-5. 보험료 자동납입 특별약관 139
5-6. 지정대리청구서비스Ⅱ 특별약관 140
별표 및 참고 141
[별표1] 보험금을 지급할 때의 적립이율 계산 143
[별표2] 장해분류표 144
[별표-상해관련1] 골절 분류표 158
[별표-상해관련2] 골절(치아 파절(깨짐, 부러짐) 제외) 분류표 159
[별표-상해관련3] 5대골절 분류표 160
[별표-상해관련4] 아나필락시스 분류표 161
[별표-상해및질병관련1] 급여 창상봉합술 대상 수가코드 162
[별표-상해및질병관련2] 급여 창상봉합술(안면부) 대상 수가코드 163
[별표-상해및질병관련4] 급여 창상봉합술(3/5cm미만) 대상 수가코드 164
[별표-질병관련1] 특정법정감염병 분류표 165
[별표-질병관련1.1] 감염병병원체 확인기관 166
약관에서 인용된 법·규정 167
특별약관 색인 225

[Page 7]
약관이용 Guide Book
보험약관이란?
보험약관은 가입하신 보험계약의 내용 및 조건 등을 미리 정하여 놓은 계약조항으로 보
험계약자와 보험회사의 권리 및 의무를 규정하고 있습니다. 특히, 청약철회, 계약취소, 보
험금 지급 및 지급제한 사항 등 보험계약의 중요사항에 대한 설명이 들어 있으니 반드시
확인하셔야 합니다
한눈에 보는 약관의 구성
약관이용
가이드북
약관을 쉽게 잘 이용할 수 있도록 약관의 구성, 쉽게
찾는 방법 등의 내용에 담고 있는 지침서
시각화된
상품 및
약관요약서
상품 및 약관을 쉽게 이해할 수 있도록 계약 주요내용 및
유의사항 등을 시각적 방법을 이용하여 간단하게
요약한 요약서
보험약관
보통약관: 기본계약을 포함한 공통 사항을 정한
기본약관
특별약관: 보통약관에 정한 사항 외에 선택가입한
보장내용 등 필요한 사항을 정한 약관
용어풀이
및 색인 등
약관 이해를 돕기 위한 어려운 법률·보험용어의 풀이
가나다순 특약 색인, 관련법규 등을 소비자에게 안내
QR코드를 통한 편리한 정보 이용
QR (Qu ic k R e s ponse) 코드란?
스마트폰으로 해당 QR코드를 스캔하면 상세내용 등을 손쉽게
안내받을 수 있습니다
약관해설
https://youtu"
4,118,특별약관 127,,,"긍정:지급,수령; 부정:제한",회사,지급,"보험회사로부터 약관을 수령한 후, 해당 내용을 반드시 확인∙숙지 하시기 바랍니다 // 보험금 지급 및 지급제한 사항",,178,248,8, 정보 이용 QR (Qu ic k R e s ponse) 코드란? 스마트폰으로 해당 QR코드를 스캔하면 상세," 정보 이용
QR (Qu ic k R e s ponse) 코드란?
스마트폰으로 해당 QR코드를 스캔하면 상세내용 등을 손쉽게
안내받을 수 있습니다
약관해설
https://youtu.be/Q83Xl1KSw5s
보험금 지급절차
https://youtu.be/zyKOo8a_BiE
전국 지점
https://m.samsungfire.com/sfmi/ui/m/home/cust/
MO_CS_SearchBranchList.html?customer=branch
6 / 227

[Page 8]
약관의 핵심 체크항목 쉽게 찾기(보 통 약 관 기 준 )
보험약관 핵심사항 등과 관련된 해당 조문, 쪽수 및 영상자료 등을 안내드리오니,
보험회사로부터 약관을 수령한 후, 해당 내용을 반드시 확인∙숙지 하시기 바랍니다.
핵심사항과 해당 조문 영상자료 페이지
보험금 지급 및 지급제한 사항"
5,135,제8조(보험금의 지급절차),제8조,지급절,"긍정:보장,지급; 부정:제외",,지급,"제8조(보험금의 지급절차) // 스마트 폰으로 QR코드를 인식하면 약관해설 동영상, 보험금 지급절차, // * 계약에 부가된 특약은 자유롭게 선택 가입(의무부가 특약 제외)할 수 있고,",제8조,306,602,9,제8조(보험금의 지급절차) https://consumer.knia.or.kr/youtubelong11.do ,"제8조(보험금의 지급절차)
https://consumer.knia.or.kr/youtubelong11.do
p.35
7 / 227

[Page 9]
약관을 쉽게 이용할 수 있는 방법
아래 7가지 방법을 활용하시면 약관을 보다 쉽고 편리하게 이용할 수 있습니다.
쉽게 이용할 수 있는 방법 페이지
약관이용 Gu ide B ook(핵심 체크항목 쉽게 찾기)
'약관의 핵심 체크항목 쉽게 찾기'를 이용하시면 약관내용 중 핵심적인
권리 및 의무관계를 보다 쉽게 찾을 수 있습니다.
스마트 폰으로 QR코드를 인식하면 약관해설 동영상, 보험금 지급절차,
전국지점 등을 쉽게 안내 받을 수 있습니다.
p.5
상품 및 약관 요약서
시각화 된 '상품 및 약관 요약서'를 활용하시면 계약 일반사항, 가입시 유의
사항, 민원사례 등 약관을 보다 쉽게 이해하실수 있습니다.
p.8
보험용어 풀이
약관내용 중 어려운 보험용어는 보험용어 풀이, 약관 본문 B ox안 용어풀
이, 예시안내 등을 참고하시면 이해에 도움이 됩니다
p.24
약관에서 인용된 법·규정
별표 및 참고의 '약관에서 인용된 법∙규정'을 활용하시면 약관에서
인용한 법률 조항 및 규정을 자세히 알 수 있습니다.
-
특별약관 색인
별표 및 참고의 '특별약관 색인'을 활용하시면 본인이 실제 가입한 특약
약관을 쉽게 찾을 수 있습니다
* 계약에 부가된 특약은 자유롭게 선택 가입(의무부가 특약 제외)할 수 있고,
가입한 특약에 한해 보장 받을 수 있음
-
약관조항 등이 음영· 컬러화 되거나 진하게 된 경우 보험금 지급 등
약관 주요 내용이므로 주의깊게 읽기 바랍니다.
-
기타 문의사항
※ 기타 문의사항은 당사 홈페이지(www.samsungfire.com), 고객 콜센터(1588-
5114)로 문의 가능
※ 보험상품 거래단계별 필요한 금융꿀팁 또는 핵심정보 등은 금융감독원 금융소비자
정보 포탈(FINE, fine.fss.or.kr)에서 확인 가능
8 / 227

[Page 10]
쉽게 이해하는 상품 및 약관 요약서
이 요약서는 그림·도표·아이콘·삽화 등 시각화된 자료를 바탕으로 보험상품 및 약관의
핵심내용을 알기 쉽게 작성한 것입니다.
보다 자세한 사항은 상품설명서 및 약관 본문을 반드시 확인하시기 바랍니다.
※ 이 요약서의 내용을 이해하지 못하고 보험에 가입할 경우 불이익을 받을 수
있으므로, 동 내용을 반드시 이해하시고 계약체결 여부를 결정하시기 바랍니다.
보험계약의 개요
상품의 주요 특"
6,135,제8조(보험금의 지급절차),제8조,지급절,"긍정:보장,지급,보상; 부정:면책,제외,제한",계약자,갱신,"있으므로, 동 내용을 반드시 이해하시고 계약체결 여부를 결정하시기 바랍니다 // 이 상품은 사망, 상해 및 비용손해와 배상책임을 보장하는 삼성화재 상품입니다 // 반려견의 상해 또는 질병으로 인한 위험을 주보장으로 하는 상품입니다",,306,602,11," 요약서의 내용을 이해하지 못하고 보험에 가입할 경우 불이익을 받을 수 있으므로, 동 내용을 반드시 이해하시"," 요약서의 내용을 이해하지 못하고 보험에 가입할 경우 불이익을 받을 수
있으므로, 동 내용을 반드시 이해하시고 계약체결 여부를 결정하시기 바랍니다.
보험계약의 개요
상품의 주요 특징
이 상품은 사망, 상해 및 비용손해와 배상책임을 보장하는 삼성화재 상품입니다.
상품명으로 상품의 특징 이해하기
무배당 삼성화재 펫보험 위풍댕댕(2505.8)
무배당
계약자에게 배당을 하지 않는 상품입니다.
펫보험
반려견의 상해 또는 질병으로 인한 위험을 주보장으로 하는 상품입니다.
소비자가 반드시 알아두어야 할 유의사항
보험금 지급 제한사항
이 보험에는 면책기간, 감액지급, 보장한도 및 자기부담금 등 보험금 지급제한 조건이 부
가되어 있습니다.
면책기간 이 보험에는 보험금이 지급되지 않는 기간(면책기간)이 설정된 담보가
있습니다.
보험금
미지급
구분 면책기간 적용 담보 면책기간
비용
손해
- 반려견 의료비(치과및구강질환포함)
(수술당일)(50%보상형)(재가입형)
- 반려견 의료비(치과및구강질환포함)
(수술당일)(70%보상형)(재가입형)
- 반려견 의료비(치과및구강질환포함)
(수술당일제외, 검사비포함)
(50%보상형)(재가입형)
- 반려견 의료비(치과및구강질환포함)
(수술당일제외, 검사비포함)
(70%보상형)(재가입형)
① 가입후 30일간 보장제외(단, 상
해로 인한 경우는 면책기간을 적
용하지 않음)
② ①에도 불구하고 암, 백내장, 녹
내장, 심장질환, 신장질환, 방광
질환 및 각종 결석의 경우 90일
간 보장 제외
③ ① 내지 ②에도 불구하고 슬관
절탈구, 고관절탈구, 슬관절형성
부전, 고관절형성부전 또는 기타
이들과 유사한 질병 또는 상해의
경우 1년간 보장 제외
- [갱신형]반려견 사망위로금 가입후 30일간 보장 제외
※ 갱신계약 및 재가입 계약의 경우 면책기간을 적용하지 않습니다.
9 / 227

[Page 11]
보장한도 보장한도 자기부담금 이 보험에는 보험금 지급한도
및 자기부담금이 설정된 담보가
있습니다.
최초
1회한
보험금
지급한도
적용
보험금
미지급
구분 보험금 지급한도 및 자기부담금 적용 담보
보장한도 및
자기부담금
펫
관련
- 반려견 의료비(치과및구강질환포함) (수술당
일)(70%보상형)(재가입형)
[1 일 당 / 연 한 도 ]
연 간 2 회 한 ,
1 일 당 1 0 0 / 2 00 /30 0만 원
[자 기 부 담 금 ]
1 일 당 3 만 원
펫
관련
- 반려견 의료비(치과및구강질환포함) (수술당
일)(50%보"
7,135,제8조(보험금의 지급절차),제8조,지급절,"긍정:보장,지급,보상; 부정:제외",,갱신,"- 반려견 의료비 확대보장(특정처치(이물제거))(수 // 술당일제외,연간2회한)(50%보상형)(재가입형) // - 반려견 의료비 확대보장(특정처치(이물제거))(수",,306,602,15," 2 회 한 , 1 일 당 1 0 0 / 2 00 /30 0만 원 [자 기 부 담 금 ] 1 일 당 3 만 "," 2 회 한 ,
1 일 당 1 0 0 / 2 00 /30 0만 원
[자 기 부 담 금 ]
1 일 당 3 만 원
펫
관련
- 반려견 의료비(치과및구강질환포함) (수술당
일)(50%보상형)(재가입형)
[1 일 당 / 연 한 도 ]
연 간 2 회 한 ,
1 일 당 1 0 0 / 2 00 만원
[자 기 부 담 금 ]
1 일 당 3 만 원
- 반려견 의료비(치과및구강질환포함) (수술당일제
외, 검사비포함)(70%보상형)(재가입형)
[1 일 당 / 연 한도 ]
- 1 0 만 원 /1 ,000 만원
- 1 5 만 원 /1 ,500 만원
- 3 0 만 원 /1 ,500 만원
[자 기 부 담 금 ]
1 일 당 3 만 원
- 반려견 의료비(치과및구강질환포함) (수술당일제
외, 검사비포함)(50%보상형)(재가입형)
[1 일 당 / 연 한도 ]
1 0 만 원 /1 ,00 0만원
[자 기 부 담 금 ]
1 일 당 3 만 원
- 반려견 의료비 확대보장(특정처치(이물제거))(수
술당일제외,연간2회한)(50%보상형)(재가입형)
- 반려견 의료비 확대보장(특정처치(이물제거))(수
술당일제외,연간2회한)(70%보상형)(재가입형)
[ 1회 당 / 연 한 도 ]
1회 당
내 시 경 : 200만 원 ,
구 토 유 도 약 물 : 20만 원
연 간 2회 한
- [갱신형] 반려견 배상책임
[연한도]
500만원/1,000만원/3,000만원
[자 기 부 담 금 ]
1 사 고 당 1 0 만 원
구분 보험금 지급한도 및 자기부담금 적용 담보
보장한도 및
자기부담금
입원/
통원
일당 등
- 상해 입원일당(1일이상)
- [갱신형] 반려견 위탁비용(반려인상해입원1일
이상180일한도)(실손)
- [갱신형] 반려견 위탁비용(반려인질병입원1일
이상180일한도)(실손)
1일이상 180일 한도
상해
및
질병
- 창상봉합술 치료비(1일1회한) 1일1회, 연간 3회한
상해
- 상해흉터복원(성형)수술비
500만원 한도
안면부 1cm 당 14만원
상∙하지 1cm 당 7만원
(단, 3cm 이상)
- 안면부 상해흉터복원(성형)수술비
- 5cm 이상 10cm 미만:
가입금액의 50%
- 10cm 이상:
가입금액의 100%
- 강력범죄피해보장(범죄유형별)
- 살인 : 1,000만원
- 강간 : 500만원
- 강도 : 100만원
- 상해 및 폭행
전치 6개월초과: 300만원
4개월초과 6개월이하: 200만원
2개월초과 4개월이하: 150만원
1개월초과 2개월이하: 100만원
기타 - 상해 "
8,135,제8조(보험금의 지급절차),제8조,지급절,"긍정:보장,지급,보상,환급,유지; 부정:제외,해지","회사,계약자",해지,해약환급금에 관한 사항 // 보험계약자가 보험계약을 중도에 해지할 경우 보험회사는 해약환급금을 지급합니다 // 해약환급금 해약환급금은 납입한 보험료보다 적거나 없을 수도 있습니다,,306,602,12, : 100만원 - 상해 및 폭행 전치 6개월초과: 300만원 4개월초과 6개월이하: 200만원 2개월초과 ," : 100만원
- 상해 및 폭행
전치 6개월초과: 300만원
4개월초과 6개월이하: 200만원
2개월초과 4개월이하: 150만원
1개월초과 2개월이하: 100만원
기타 - 상해 후유장해(3~100%) 가입금액 한도
10 / 227

[Page 12]
11 / 227

[Page 13]
해약환급금에 관한 사항
보험계약자가 보험계약을 중도에 해지할 경우 보험회사는 해약환급금을 지급합니다.
해약환급금 해약환급금은 납입한 보험료보다 적거나 없을 수도 있습니다
* 해약환급금 : 납입한 보험료에서 계약체결∙유지관리 등에 소요되는
경비 및 경과된 기간의 위험보장에 사용된 보험료를
차감하여 지급
적음
갱신시 보험료 인상 가능성
이 보험에는 갱신시 보험료가 변동되는 갱신형 계약이 포함되어 있습니다.
보험료갱신형 갱신형 계약은 갱신할 때 마다 연령의 증가, 위험률 변동 등으로
보험료가 인상될 수 있으니 주의하시기 바랍니다.
갱신시
보험료인상
구분 갱신시 보험료가 인상될 수 있는 계약
펫
관련
- [갱신형] 반려견 배상책임
- [갱신형] 반려견 사망위로금
- [갱신형] 반려견 위탁비용(반려인상해입원1일이상180일한도)(실손)
- [갱신형] 반려견 위탁비용(반려인질병입원1일이상180일한도)(실손)
실손보상형 담보
이 보험에는 실제 발생한 손해액을 보상(실손보상)하는 담보가 포함되어 있습니다.
실손형담보
동일한 위험을 보장하는 2개 이상의 계약에 중복 가입 하더라도
실제 발생한 손해(비용)을 초과하여 보험금을 지급하지 않습니다.
(중복 가입시 비례 보상)
동일한 위험을 보장하는 여러 개의 실손보상형 담보에 가입하여
불필요하게 보험료를 납입하지 않도록 주의 하시기 바랍니다.
중복가입시
비례보상
실손보상형 담보
- 반려견 의료비(치과및구강질환포함)(수술당일)(50%보상형)(재가입형)
- 반려견 의료비(치과및구강질환포함)(수술당일)(70%보상형)(재가입형)
- 반려견 의료비(치과및구강질환포함)(수술당일제외, 검사비포함)(50%보상형)(재가입형)
- 반려견 의료비(치과및구강질환포함)(수술당일제외, 검사비포함)(70%보상형)(재가입형)
- 반려견 의료비 확대보장(특정처치(이물제거))(수술당일제외,연간2회한)(50%보상형)(재가입형)
12 / 227

[Page 14]
실손보상형 담보
- 반려견 의료비 확대보장(특정처치(이물제거))(수술당일제외,연간2회한)(70%보상형)(재가입형)
- [갱신형] 반려견 배상책임
- [갱신형] 반려견 위탁비용("
9,135,제8조(보험금의 지급절차),제8조,지급절,"긍정:보장,지급,보상,환급,수령,유지,변경; 부정:제외,해지,제한","회사,계약자",해지,"- 반려견 의료비 확대보장(특정처치(이물제거))(수술당일제외,연간2회한)(70%보상형)(재가입형) // 소비자가 반드시 알아두어야 할 상품의 주요 특성 // 이 보험은 상해보장 및 반려견 관련 보장을 주목적으로 하는",,306,602,15,"] 실손보상형 담보 - 반려견 의료비 확대보장(특정처치(이물제거))(수술당일제외,연간2회한)(70%보상형)(","]
실손보상형 담보
- 반려견 의료비 확대보장(특정처치(이물제거))(수술당일제외,연간2회한)(70%보상형)(재가입형)
- [갱신형] 반려견 배상책임
- [갱신형] 반려견 위탁비용(반려인상해입원1일이상180일한도)(실손)
- [갱신형] 반려견 위탁비용(반려인질병입원1일이상180일한도)(실손)
13 / 227

[Page 15]
소비자가 반드시 알아두어야 할 상품의 주요 특성
보장 성보험
이 보험은 상해보장 및 반려견 관련 보장을 주목적으로 하는
보장성보험이며 저축이나 연금수령을 목적으로 가입하시기에
적합하지 않습니다.
만기 또는 중도해지시 납입한 보험료보다 환급금이 적을 수 있습니다.
가입한 특약의 경우 보통약관과 보험기간이 다를 수 있습니다.
(특약별 보험기간을 꼼꼼히 확인하시기 바랍니다)
사망, 상해,
질병 등
만기환급금
회사는 이 보험의 기본계약 만기시점의 적립금을 만기환급금으로
지급하며, 납입보험료 중 적립부분 순보험료(적립보험료에서 계약
체결비용 및 계약관리비용을 제외한 금액)를 기준으로 공시이율을
적용한 금액으로, 향후 공시이율의 변경, 계약내용의 변경, 보험료
실제 납입일자, 중도인출 여부 등에 따라 달라질 수 있습니다.
적립되는 보험료 없이 보장담보만으로 가입하시는 경우 보험계약
만기시 지급받는 금액(만기환급금)이 없습니다.
변동가능
중도인출
보험계약자는 보험기간 중 회사가 정한 기준에 따라 적립부분
해약환급금(기본계약 해약환급금이 적립부분 해약환급금보다 적은
경우에는 기본계약 해약환급금을 한도로 함)의 80% 내에서 인출할
수 있습니다.
다만 보험계약대출이 있는 경우에는 그 원금과 이자합계액을 한도에서
공제한 후의 잔액을 기준으로 합니다.
중도인출시 인출금액 및 적립되는 이자만큼 만기(해지) 환급금에서
차감하여 지급하므로 환급금이 현저하게 감소하거나 기납입보험료
보다 적을 수 있습니다.
해약환급금
80% 이내
금리연동형
이 보험의 적립부분 순보험료에 적용되는 이율은 매월 변동됩니다.
* 적립부분 순보험료 : 적립보험료에서 부가보험료(계약체결비용 및
계약관리비용 등)를 제외한 금액
동 이율은 납입한 보험료에서 계약체결·유지관리에 필요한 경비 및
위험보장을 위한 보험료, 특약보험료를 차감한 금액에 대해서만
적용됩니다.
적용금리
변동
최저보증이율 이 보험의 최저보증이율은 연복리 0.25% 입니다.
* 최저보증이율 : 자산운용이익률, 시장금리가 하락하는 경우 회사가
보증하는 적용이율의 최저한도 0.25%"
10,135,제8조(보험금의 지급절차),제8조,지급절,"긍정:지급,변경","피보험자,보험수익자,회사,계약자",변경,일하지 않을 때에는 사망보험금 지급사유가 발생하기 전에 피보험자가,"제2조,제44조",306,602,15,"리 변동 최저보증이율 이 보험의 최저보증이율은 연복리 0.25% 입니다. * 최저보증이율 : 자산운용이익률,","리
변동
최저보증이율 이 보험의 최저보증이율은 연복리 0.25% 입니다.
* 최저보증이율 : 자산운용이익률, 시장금리가 하락하는 경우 회사가
보증하는 적용이율의 최저한도 0.25%
사망보험금
사망보험금 수익자를 지정/변경하고자 할 경우 계약자와 피보험자가 동
일하지 않을 때에는 사망보험금 지급사유가 발생하기 전에 피보험자가
서면(「전자서명법」제2조 제2호에 따른 전자서명이 있는 경우로서 상
법 시행령 제44조의2에 정하는 바에 따라 본인 확인 및 위조ㆍ변조 방
지에 대한 신뢰성을 갖춘 전자문서를 포함)으로 동의해야 합니다.
만약 계약자가 보험수익자를 지정하지 않은 때에는 민법상 피보험자의
법정상속인 순위로 보험수익자를 정합니다.
* 민법상 법정상속인 순위"
