chunk_id,section_idx,section_header,section_name,subsection_name,topic_positive_negative,subject,procedure,claim_sentence,cross_ref,start_line,end_line,page,preview,chunk_text
1,1,인트로/기타,,,,,,삼성화재 이 약관은 금융소비자보호법 및 소비자보호 내부통제기준에 따른 절차를 거쳐 제공됩니다 // 무 배당 삼성화재 다 이렉 트 // 2 0 2 5 년 9 월 1 일 부 터 적 용,,1,17,1,[Page 1] 삼성화재 이 약관은 금융소비자보호법 및 소비자보호 내부통제기준에 따른 절차를 거쳐 제공됩니다,"[Page 1]
삼성화재 이 약관은 금융소비자보호법 및 소비자보호 내부통제기준에 따른 절차를 거쳐 제공됩니다. 보험약관
착한펫보험(강아지)
무 배당 삼성화재 다 이렉 트
2 5 0 5 . 5
2 0 2 5 년 9 월 1 일 부 터 적 용

[Page 2]


[Page 3]
2 / 182
[ 목 차 ]
약관이용 Guide Book 5
쉽게 이해하는 상품 및 약관 요약서 8
자주 발생하는 민원 예시 21
개인신용정보 제공·이용에 대한 고객 권리 안내문 25
보통약관 26"
2,114,특별약관 93,,,"긍정:보장,지급,청구,수령; 부정:취소,제한","회사,계약자",청구, 지정대리청구서비스Ⅱ 특별약관 100 //  특정 신체부위·질병 보장제한부 인수 특별약관 101 // [별표1] 보험금을 지급할 때의 적립이율 계산 108,,159,216,6,특별약관 93 제도성 특별약관 95 4-1. [갱신형] 특별약관의 자동갱신 특별약관 97 4-2. 보험료 자,"특별약관 93
제도성 특별약관 95
4-1. [갱신형] 특별약관의 자동갱신 특별약관 97
4-2. 보험료 자동납입 특별약관 99
4-3. 지정대리청구서비스Ⅱ 특별약관 100
4-4. 특정 신체부위·질병 보장제한부 인수 특별약관 101
4-5. 특별조건부 특별약관 104
별표 및 참고 106
[별표1] 보험금을 지급할 때의 적립이율 계산 108
[별표2] 장해분류표 109
약관에서 인용된 법·규정 123
특별약관 색인 180

[Page 6]
약관이용 Guide Book
보험약관이란?
보험약관은 가입하신 보험계약의 내용 및 조건 등을 미리 정하여 놓은 계약조항으로 보
험계약자와 보험회사의 권리 및 의무를 규정하고 있습니다. 특히, 청약철회, 계약취소, 보
험금 지급 및 지급제한 사항 등 보험계약의 중요사항에 대한 설명이 들어 있으니 반드시
확인하셔야 합니다.
한눈에 보는 약관의 구성
약관이용
가이드북
약관을 쉽게 잘 이용할 수 있도록 약관의 구성, 쉽게
찾는 방법 등의 내용에 담고 있는 지침서
시각화된
상품 및
약관요약서
상품 및 약관을 쉽게 이해할 수 있도록 계약 주요내용 및
유의사항 등을 시각적 방법을 이용하여 간단하게
요약한 요약서
보험약관
보통약관: 기본계약을 포함한 공통 사항을 정한
기본약관
특별약관: 보통약관에 정한 사항 외에 선택가입한
보장내용 등 필요한 사항을 정한 약관
용어풀이
및 색인 등
약관 이해를 돕기 위한 어려운 법률·보험용어의 풀이
가나다순 특약 색인, 관련법규 등을 소비자에게 안내
QR코드를 통한 편리한 정보 이용
QR (Qu ic k R e s ponse) 코드란?
스마트폰으로 해당 QR코드를 스캔하면 상세내용 등을 손쉽게
안내받을 수 있습니다.
약관해설
https://youtu.be/Q83Xl1KSw5s
보험금 지급절차
https://youtu.be/zyKOo8a_BiE
전국 지점
https://m.samsungfire.com/sfmi/ui/m/home/cust/
MO_CS_SearchBranchList.html?customer=branch
5 / 182

[Page 7]
약관의 핵심 체크항목 쉽게 찾기(보 통 약 관 기 준 )
보험약관 핵심사항 등과 관련된 해당 조문, 쪽수 및 영상자료 등을 안내드리오니,
보험회사로부터 약관을 수령한 후, 해당 내용을 반드시 확인∙숙지 하시기 바랍니다.
핵심사항과 해당 조문 영상자료 페이지
보험금 지급 및 지급제한 사항"
3,130,제8조(보험금의 지급절차),제8조,지급절,"긍정:보장,지급; 부정:제외",,지급,"제8조(보험금의 지급절차) // 스마트 폰으로 QR코드를 인식하면 약관해설 동영상, 보험금 지급절차, // * 계약에 부가된 특약은 자유롭게 선택 가입(의무부가 특약 제외)할 수 있고,",제8조,271,499,8,제8조(보험금의 지급절차) https://consumer.knia.or.kr/youtubelong11.do ,"제8조(보험금의 지급절차)
https://consumer.knia.or.kr/youtubelong11.do
p.35
6 / 182

[Page 8]
약관을 쉽게 이용할 수 있는 방법
아래 7가지 방법을 활용하시면 약관을 보다 쉽고 편리하게 이용할 수 있습니다.
쉽게 이용할 수 있는 방법 페이지
약관이용 Gu ide B ook(핵심 체크항목 쉽게 찾기)
'약관의 핵심 체크항목 쉽게 찾기'를 이용하시면 약관내용 중 핵심적인
권리 및 의무관계를 보다 쉽게 찾을 수 있습니다.
스마트 폰으로 QR코드를 인식하면 약관해설 동영상, 보험금 지급절차,
전국지점 등을 쉽게 안내 받을 수 있습니다.
p.8
상품 및 약관 요약서
시각화 된 '상품 및 약관 요약서'를 활용하시면 계약 일반사항, 가입시 유의
사항, 민원사례 등 약관을 보다 쉽게 이해하실수 있습니다.
p.10
보험용어 풀이
약관내용 중 어려운 보험용어는 보험용어 풀이, 약관 본문 B ox안 용어풀
이, 예시 안내 등을
참고하시면 이해에 도움이 됩니다
p.29
약관에서 인용된 법·규정
별표 및 참고의 '약관에서 인용된 법∙규정'을 활용하시면 약관에서
인용한 법률 조항 및 규정을 자세히 알 수 있습니다.
-
특별약관 색인
별표 및 참고의 '특별약관 색인'을 활용하시면 본인이 실제 가입한 특약
약관을 쉽게 찾을 수 있습니다
* 계약에 부가된 특약은 자유롭게 선택 가입(의무부가 특약 제외)할 수 있고,
가입한 특약에 한해 보장 받을 수 있음
-
약관조항 등이 음영· 컬러화 되거나 진하게 된 경우 보험금 지급 등
약관 주요 내용이므로 주의깊게 읽기 바랍니다.
-
기타 문의사항
※ 기타 문의사항은 당사 홈페이지(www.samsungfire.com), 고객 콜센터(1588-
5114)로 문의 가능
※ 보험상품 거래단계별 필요한 금융꿀팁 또는 핵심정보 등은 금융감독원 금융소비자
정보 포탈(FINE, fine.fss.or.kr)에서 확인 가능
7 / 182

[Page 9]
쉽게 이해하는 상품 및 약관 요약서
이 요약서는 그림·도표·아이콘·삽화 등 시각화된 자료를 바탕으로 보험상품 및 약관의
핵심내용을 알기 쉽게 작성한 것입니다.
보다 자세한 사항은 상품설명서 및 약관 본문을 반드시 확인하시기 바랍니다.
※ 이 요약서의 내용을 이해하지 못하고 보험에 가입할 경우 불이익을 받을 수
있으므로, 동 내용을 반드시 이해하시고 계약체결 여부를 결정하시기 바랍니다.
보험계약의 개요
상품의 주요 "
4,130,제8조(보험금의 지급절차),제8조,지급절,"긍정:보장,지급,보상; 부정:면책,제외,제한",계약자,갱신,"있으므로, 동 내용을 반드시 이해하시고 계약체결 여부를 결정하시기 바랍니다 // 이 상품은 상해, 비용손해와 반려견에 대한 의료비 및 사망보험금을 보장하는 삼성화재 // 반려견의 상해 또는 질병으로 인한 위험을 주보장으로 하는 상품입니다",,271,499,10,"이 요약서의 내용을 이해하지 못하고 보험에 가입할 경우 불이익을 받을 수 있으므로, 동 내용을 반드시 이해하","이 요약서의 내용을 이해하지 못하고 보험에 가입할 경우 불이익을 받을 수
있으므로, 동 내용을 반드시 이해하시고 계약체결 여부를 결정하시기 바랍니다.
보험계약의 개요
상품의 주요 특징
이 상품은 상해, 비용손해와 반려견에 대한 의료비 및 사망보험금을 보장하는 삼성화재
상품입니다.
상품명으로 상품의 특징 이해하기
무배당 삼성화재 다이렉트 착한펫보험(강아지)(2505.5)
무배당
계약자에게 배당을 하지 않는 상품입니다.
펫보험
반려견의 상해 또는 질병으로 인한 위험을 주보장으로 하는 상품입니다.
소비자가 반드시 알아두어야 할 유의사항
보험금 지급 제한사항
이 보험에는 면책기간, 보장한도 및 자기부담금 등 보험금 지급제한 조건이 부가되어 있
습니다.
면책기간 이 보험에는 보험금이 지급되지 않는 기간(면책기간)이 설정된 담보가
있습니다.
보험금
미지급
구분 면책기간 적용 담보 면책기간
비용
손해
- 반려견 의료비(치과및구강질환포함)(수술
당일)(70%보상형)(재가입형)
- 반려견 의료비(치과및구강질환포함)(수술
당일)(50%보상형)(재가입형)
- 반려견 의료비(치과및구강질환포함)(수술
당일제외, 검사비포함)(70%보상형)(재가
입형)
- 반려견 의료비(치과및구강질환포함)(수술
당일제외, 검사비포함)(50%보상형)(재가
입형)
① 가입후 30일간 보장제외(단, 상
해로 인한 경우는 면책기간을 적
용하지 않음)
② ①에도 불구하고 암, 백내장, 녹
내장, 심장질환, 신장질환, 방광
질환 및 각종 결석의 경우 90일
간 보장 제외
③ ① 내지 ②에도 불구하고 슬관
절탈구, 고관절탈구, 슬관절형성
부전, 고관절형성부전 또는 기타
이들과 유사한 질병 또는 상해의
경우 1년간 보장 제외
비용
손해
- [갱신형]반려견 장례서비스지원금 가입후 30일간 보장 제외
※ 갱신계약 및 재가입 계약의 경우 면책기간을 적용하지 않습니다.
8 / 182

[Page 10]
보장한도 자기부담금 이 보험에는 보험금 지급한도 및 자기
부담금이 설정된 담보가 있습니다. 보험금
지급한도
적용
보험금
미지급
구분 보험금 지급한도 및 자기부담금 적용 담보
보장한도 및
자기부담금
펫 관련
- 반려견 의료비(치과및구강질환포함)(수술당
일)(70%보상형)(재가입형)
[ 1일 당 / 연 한 도 ]
연 간 2회 한 ,
1일 당 100/ 200/ 300만 원
[ 자 기 부 담 금 ]
1일 당 3만 원
- 반려견 의료비(치과및구강질환포함)(수술당
일)(50%보상형)(재"
5,130,제8조(보험금의 지급절차),제8조,지급절,"긍정:보장,지급,보상,환급,유지; 부정:제외,해지","회사,계약자",해지,"일제외, 검사비포함)(70%보상형)(재가입형) // 일제외, 검사비포함)(50%보상형)(재가입형) // - 반려견 의료비 확대보장(특정처치(이물제",,271,499,11,"한 도 ] 연 간 2회 한 , 1일 당 100/ 200/ 300만 원 [ 자 기 부 담 금 ] 1일 당 3만","한 도 ]
연 간 2회 한 ,
1일 당 100/ 200/ 300만 원
[ 자 기 부 담 금 ]
1일 당 3만 원
- 반려견 의료비(치과및구강질환포함)(수술당
일)(50%보상형)(재가입형)
[ 1일 당 / 연 한 도 ]
연 간 2회 한 ,
1일 당 100/ 200만 원
[ 자 기 부 담 금 ]
1일 당 3만 원
- 반려견 의료비(치과및구강질환포함)(수술당
일제외, 검사비포함)(70%보상형)(재가입형)
[ 1일 당 / 연 한 도 ]
- 10만 원 / 1,000만 원
- 15만 원 / 1,500만 원
- 30만 원 / 1,500만 원
[ 자 기 부 담 금 ]
1일 당 3만 원
- 반려견 의료비(치과및구강질환포함)(수술당
일제외, 검사비포함)(50%보상형)(재가입형)
[ 1일 당 / 연 한 도 ]
10만 원 / 1,000만 원
[ 자 기 부 담 금 ]
1일 당 3만 원
- 반려견 의료비 확대보장(특정처치(이물제
거))(수술당일제외, 연간2회한)(70%보상
형)(재가입형)
- 반려견 의료비 확대보장(특정처치(이물제
거))(수술당일제외, 연간2회한)(50%보상
형)(재가입형)
[ 1회 당 ]
내 시 경 : 200만 원 /
구 토 유 도 약 물 : 20만 원
[ 연 한 도 ]
연 간 2회 한
펫 관련
배상책임
- [갱신형]반려견 배상책임
[연한도]
500만원/ 1,000만 원/ 3,000만 원
[ 자 기 부 담 금 ]
구분 보험금 지급한도 및 자기부담금 적용 담보
보장한도 및
자기부담금
1사 고 당 10만 원
입원
일당 등
- [갱신형] 반려견 위탁비용(반려인상해입원1
일이상180일한도)(실손)
- [갱신형] 반려견 위탁비용(반려인질병입원
1일이상180일한도)(실손)
1일이상 180일 한도
해약환급금에 관한 사항
보험계약자가 보험계약을 중도에 해지할 경우 보험회사는 해약환급금을 지급합니다.
해약환급금 해약환급금은 납입한 보험료보다 적거나 없을 수도 있습니다
* 해약환급금 : 납입한 보험료에서 계약체결∙유지관리 등에 소요되는
경비 및 경과된 기간의 위험보장에 사용된 보험료를
차감하여 지급
적음
9 / 182

[Page 11]
갱신시 보험료 인상 가능성
보험료갱신형
이 보험은 갱신시 보험료가 변동되는 갱신형 계약입니다. 갱신형 계약은
갱신시마다 연령의 증가, 위험률 변동 등으로 보험료가 인상될 수 있으니
주의하시기 바랍니다.
구분 갱신시 보험료가 인상될 수 있는 계약
펫
관련
- [갱신형] 반려견 배상책임
- [갱신형] 반려"
6,130,제8조(보험금의 지급절차),제8조,지급절,"긍정:보장,지급,보상,환급,수령,변경; 부정:제외,해지","피보험자,계약자",해지,동일한 위험을 보장하는 2개 이상의 계약에 중복 가입 하더라도 // 실제 발생한 손해(비용)을 초과하여 보험금을 지급하지 않습니다 // 동일한 위험을 보장하는 여러 개의 실손보상형 담보에 가입하여,"제2조,제44조",271,499,11,"의 증가, 위험률 변동 등으로 보험료가 인상될 수 있으니 주의하시기 바랍니다. 구분 갱신시 보험료가 인상될 ","의 증가, 위험률 변동 등으로 보험료가 인상될 수 있으니
주의하시기 바랍니다.
구분 갱신시 보험료가 인상될 수 있는 계약
펫
관련
- [갱신형] 반려견 배상책임
- [갱신형] 반려견 장례서비스지원금
입원 일당
- [갱신형] 반려견 위탁비용(반려인상해입원1일이상180일한도)(실손)
- [갱신형] 반려견 위탁비용(반려인질병입원1일이상180일한도)(실손)
실손보상형 담보
이 보험에는 실제 발생한 손해액을 보상(실손보상)하는 담보가 포함되어 있습니다.
실손형담보
동일한 위험을 보장하는 2개 이상의 계약에 중복 가입 하더라도
실제 발생한 손해(비용)을 초과하여 보험금을 지급하지 않습니다.
(중복 가입시 비례 보상)
동일한 위험을 보장하는 여러 개의 실손보상형 담보에 가입하여
불필요하게 보험료를 납입하지 않도록 주의 하시기 바랍니다.
중복가입시
비례보상
실손보상형 담보
- 반려견 의료비(치과및구강질환포함)(수술당일)(70%보상형)(재가입형)
- 반려견 의료비(치과및구강질환포함)(수술당일)(50%보상형)(재가입형)
- 반려견 의료비(치과및구강질환포함)(수술당일제외, 검사비포함)(70%보상형)(재가입형)
- 반려견 의료비(치과및구강질환포함)(수술당일제외, 검사비포함)(50%보상형)(재가입형)
- 반려견 의료비 확대보장(특정처치(이물제거))(수술당일제외, 연간2회한)(70%보상형)
(재가입형)
- 반려견 의료비 확대보장(특정처치(이물제거))(수술당일제외, 연간2회한)(50%보상형)
(재가입형)
- [갱신형]반려견 배상책임
- [갱신형] 반려견 위탁비용(반려인상해입원1일이상180일한도)(실손)
- [갱신형] 반려견 위탁비용(반려인질병입원1일이상180일한도)(실손)
소비자가 반드시 알아두어야 할 상품의 주요 특성
보장성보험
이 보험은 상해보장 및 반려견 관련 보장을 주목적으로 하는 보장성보험
이며 저축이나 연금수령을 목적으로 가입하시기에 적합하지 않습니다.
만기 또는 중도해지시 납입한 보험료보다 환급금이 적을 수 있습니다.
가입한 특약의 경우 보통약관과 보험기간이 다를 수 있습니다.
(특약별 보험기간을 꼼꼼히 확인하시기 바랍니다)
사망, 상해,
질병 등
사망보험금
사망보험금 수익자를 지정/변경하고자 할 경우 계약자와 피보험자가 동
일하지 않을 때에는 사망보험금 지급사유가 발생하기 전에 피보험자가
서면(「전자서명법」제2조 제2호에 따른 전자서명이 있는 경우로서 상
법 시행령 제44조의2에 정하는 바에 따라 본인 확인 및 위조ㆍ변조 "
7,131,1.직계비속/ 2.직계존속/ 3.형제자매/ 4. 4촌이내의 방계 혈족,,,"긍정:보장,지급,환급,청구,유지,변경","보험사,보험수익자,회사,계약자",청구,융상품의 해약환급금 (또는 만기 시 보험금)에 기타 지급금을 합한 금 // 보험사고(치매 등) 발생으로 본인 스스로 보험금 청구가 현실적으로 // 어려운 상황이 발생할 경우 보험금을 대신 청구하는 자(보험금 지정,,501,1245,12,"1.직계비속/ 2.직계존속/ 3.형제자매/ 4. 4촌이내의 방계 혈족 * 배우자는 위의 1, 2순위 상속인이","1.직계비속/ 2.직계존속/ 3.형제자매/ 4. 4촌이내의 방계 혈족
* 배우자는 위의 1, 2순위 상속인이 있는 경우에 그 상속인과 동순위로
공동상속인이 되고, 그 상속인이 없는 때에는 단독상속인이 됨
보험수익자
지정/변경
예금자보호 이 보험은 예금자보호법에 따라 예금보험공사가 보호합니다.
예금자보호 한도는 본 보험회사에 있는 귀하의 모든 예금보호 대상 금
융상품의 해약환급금 (또는 만기 시 보험금)에 기타 지급금을 합한 금
액이 1인당 “1억원까지”(본 보험회사의 여타 보호상품과 합산) 보호됩
니다. 이와 별도로 본 보험회사 보호상품의 사고보험금을 합산한 금액
이 1인당 ""1억원까지"" 보호됩니다.
다만, 보험계약자 및 보험료 납부자가 법인인 보험계약의 경우에는 보
호되지 않습니다.
10 / 182

[Page 12]
지정대리청구
보험사고(치매 등) 발생으로 본인 스스로 보험금 청구가 현실적으로
어려운 상황이 발생할 경우 보험금을 대신 청구하는 자(보험금 지정
대리청구인)를 보험가입초기 또는 유지 중에 미리 지정하는 제도
입니다.
※ 계약자가 자신을 위한 치매보험 가입하고 치매가 발생한 경우 계약자가
보험금을 직접 청구할 수 없어 보험금 청구가 곤란. 이런 경우에
대비하여 보험금 대리청구인을 미리 지정하면 계약자를 대신하여
보험금을 청구할 수 있음
보험금청구대리
인지정
법령개정
① 관련 법령의 개정에 따라 지급기준이 폐지되거나 보험금 지급사유 판
정이 불가능한 경우 및 기타 금융위원회의 명령이 있는 경우에는 회
사는 객관적이고 합리적인 범위 내에서 기존 계약내용에 상응하는
새로운 보장내용으로 이 계약의 내용을 변경합니다. 이 경우 보장내
용, 보험가입금액 및 납입보험료 등이 변경될 수 있습니다.
② 계약자가 계약내용 변경을 원하지 않는 경우 회사는 해당 계약의 계
약내용 변경시점의 계약자적립액 및 미경과보험료를 지급하고, 해당
계약은 더 이상 효력이 없습니다.
③ 회사가 계약내용을 변경할 경우에는 지체없이 서면(등기우편 등), 전
화(음성녹취) 또는 전자문서 등으로 보장내용 및 보험가입금액 변경
내역, 보험료 수준, 특별약관 내용 변경 절차 등을 2회 이상 계약자
에게 알립니다.
계약내용
변경가능성
재가입
보장내용 변경주기는 최대 1년, 재가입이 가능한 반려견 만나이는 최고
19세이며, 보장받을 수 있는 최대 기간은 보험나이 20세 계약해당일로
합니다.
계약자는 재가입 시점에서 회사가 판매중인 동일하거나 객관"
8,131,1.직계비속/ 2.직계존속/ 3.형제자매/ 4. 4촌이내의 방계 혈족,,,"긍정:보장,지급,성립; 부정:해지,무효,취소,거절,제한","회사,계약자",해지,"19세이며, 보장받을 수 있는 최대 기간은 보험나이 20세 계약해당일로 // 수 있으며, 회사는 이를 거절할 수 없습니다 // 계약보다 보장내용 및 범위 등이 확대된 경우 확대된 내용에 대해 회사","제21조,제20조",501,1245,13,"년, 재가입이 가능한 반려견 만나이는 최고 19세이며, 보장받을 수 있는 최대 기간은 보험나이 20세 계약해","년, 재가입이 가능한 반려견 만나이는 최고
19세이며, 보장받을 수 있는 최대 기간은 보험나이 20세 계약해당일로
합니다.
계약자는 재가입 시점에서 회사가 판매중인 동일하거나 객관적이고 합
리적인 범위 내에서 기존 계약내용에 상응한 반려동물보험 상품(보험업
감독규정 제1-2조(정의)에서 정한 장기손해보험에 한함)으로 가입을 할
수 있으며, 회사는 이를 거절할 수 없습니다. 다만, 재가입 계약이 직전
계약보다 보장내용 및 범위 등이 확대된 경우 확대된 내용에 대해 회사
는 재가입 시점의 인수기준에 따라 승낙하거나 일부 보장을 제한할 수
있습니다.
재가입시 보험요율의 변동(연령의 증가, 손해율, 의료수가 상승 등의 변
1년주기
동)에 따라 보험료가 인상 또는 인하될 수 있습니다.
계약자는 회사의 재가입 안내를 받으면 재가입 의사를 표시해야 하며,
재가입을 원하지 않을 경우 계약을 해지할 수 있습니다.
11 / 182

[Page 13]
보험계약의 일반사항
청약을 철회할 수 있는 권리
[보통약관 제20조]
보험계약자는 보험증권을 받은 날부터 15일 이내(다만, 청약을 한 날부터 30일을 한도로
합니다)에 보험계약의 청약을 철회할 수 있으며, 이 경우 회사는 3영업일 이내에 납입한
보험료를 돌려드립니다.
◄─────────청 약철회 기간─────────►
청약일 보험증권을
받은 날
보험증권을 받은날
+15일
[청약철회가 불가한 경우]
① 청약일부터 30일(65세 이상 보험계약자 & 전화로 체결한 계약의
경우 45일)을 초과한 경우
② 전문금융소비자가 체결한 계약
③ 보험기간이 90일 이내인 계약
④ 건강상태 진단을 지원하는 계약
보험계약을 취소할 수 있는 권리
[보통약관 제21조]
보험계약자는 다음에서 계약이 성립한 날부터 3개월 이내에 계약을 취소할 수 있습니다.
① 보험계약을 청약할 때 보험약관 및 보험계약자 보관용 청약서를 전달 받지 못한
경우
② 보험약관의 중요내용을 설명 받지 못한 경우
③ 보험계약자가 청약서에 자필서명을 하지 않은 경우
◄───────계약취 소 가능기간───────►
[계약취소시 지급하는 금액 : 납입한 보험료 + 이자]
계약이
성립한 날
계약이 성립한 날 +3개월
보험계약의 무효
[보통약관 제20조]
보험회사는 다음의 경우 보험계약을 무효로 하며, 이미 납입한 보험료를 돌려드립니다.
① 계약에서 정한 반려견의 나이에 미달되었거나 초과되었을 경우
② 타인의 사망을 보험금 지급사유로 하는 보험"
9,131,1.직계비속/ 2.직계존속/ 3.형제자매/ 4. 4촌이내의 방계 혈족,,,"긍정:지급,환급,청구,수령,변경; 부정:해지,무효,제한","피보험자,보험설계사,회사,계약자",청구,"② 타인의 사망을 보험금 지급사유로 하는 보험계약에서 피보험자의 서면동의를 // ③ 만 15세 미만자, 심신상실자 또는 심신박약자의 사망을 보험금 지급사유로 한 // 통원치료를 받아 보험금을 청구","제16조,제29조,제15조,제17조",501,1245,14,"음의 경우 보험계약을 무효로 하며, 이미 납입한 보험료를 돌려드립니다. ① 계약에서 정한 반려견의 나이에 미","음의 경우 보험계약을 무효로 하며, 이미 납입한 보험료를 돌려드립니다.
① 계약에서 정한 반려견의 나이에 미달되었거나 초과되었을 경우
② 타인의 사망을 보험금 지급사유로 하는 보험계약에서 피보험자의 서면동의를
얻지 않은 경우
③ 만 15세 미만자, 심신상실자 또는 심신박약자의 사망을 보험금 지급사유로 한
경우
④ 계약을 체결할 때 계약에서 정한 피보험자의 나이에 미달되거나 초과되었을 경우
12 / 182

[Page 14]
보험계약 전 알릴 의무 및 위반효과
[보통약관 제15조,제17조]
보험계약자 또는 피보험자는 보험계약을 청약할 때 청약서의 질문사항(중요사항)에 대하
여 사실대로 기재하고 자필서명을 하셔야 합니다.
① 청약서의 질문사항에 대하여 보험설계사에게만 구두로 알렸을 경우
보험계약 전 알릴 의무를 이행한 것으로 볼 수 없습니다.
② 전화 등 통신수단을 통한 보험계약의 경우 보험회사 상담원의 질문이
청약서의 질문사항을 대신하므로 상담원의 질문에 사실대로 답변
하여야 합니다.
[민원사례]
A씨는 고지혈증, 당뇨병으로 90일간 투약처방 받은 사실을 보험설계사에게만 알려주고,
청약서에 기재하지 않은 채 OO질병보험에 가입하였으며, 가입 이후 1년간 당뇨병으로
통원치료를 받아 보험금을 청구
→ 보험회사는 보험계약이 해지됨과 동시에 보험금 지급이 어려움을 안내
[법률지식]
[대법원 2007.6.28.선고 2006다59837] 일반적으로 보험설계사는 독자적으로 보험회사
를 대리하여 보험계약을 체결할 권한이나 고지 의무를 수령할 권한이 없음
보험계약 후 알릴 의무 및 위반효과
[보통약관 제16조, 제17조]
보험계약자 등은 피보험자의 직업·직무변경 등이 발생한 경우 지체없이 보험회사에
알려야 하며, 이를 위반하는 경우 보험금 지급이 제한될 수 있습니다.
보험회사는 피보험자의 직업∙직무 변경 등으로
① 위험이 감소한 경우 보험료를 감액하고 정산금액을 환급하여 드리며,
② 위험이 증가한 경우 보험료가 증액되고 정산금액의 추가납입이
필요할 수 있습니다.
보험료 납입연체 및 보험계약의 해지
[보통약관 제29조]
보험료 납입이 연체 중인 경우 보험회사는 납입을 독촉하는 안내를 하며, 납입최고(독촉)
기간 내에 보험료를 납입하지 않으면 보험계약이 해지됩니다.
* 납입최고(독촉)기간 : 14일 이상(보험기간 1년 미만인 경우 7일이상)
◄────── 납입최고(독촉) 기간──────►
계약일 납입기일
[09.15]
납입최고(독촉"
10,131,1.직계비속/ 2.직계존속/ 3.형제자매/ 4. 4촌이내의 방계 혈족,,,"긍정:보장,지급,환급,청구,수령; 부정:해지,거절,제한","보험사,피보험자,회사,계약자",청구,* 납입최고(독촉)기간 : 14일 이상(보험기간 1년 미만인 경우 7일이상) // 해지된 보험계약의 부활(효력회복) // 보험료 납입연체로 보험계약이 해지되었으나 해약환급금을 받지 않은 경우 해지된 날부,"제36조,제7조,제8조,제30조",501,1245,15,지됩니다. * 납입최고(독촉)기간 : 14일 이상(보험기간 1년 미만인 경우 7일이상) ◄────── 납입최,"지됩니다.
* 납입최고(독촉)기간 : 14일 이상(보험기간 1년 미만인 경우 7일이상)
◄────── 납입최고(독촉) 기간──────►
계약일 납입기일
[09.15]
납입최고(독촉)
기간 종료일
[10.31]
계약해지
[11.01]
13 / 182

[Page 15]
해지된 보험계약의 부활(효력회복)
[보통약관 제30조]
보험료 납입연체로 보험계약이 해지되었으나 해약환급금을 받지 않은 경우 해지된 날부
터 3년 이내에 보험계약의 부활(효력회복)을 청약할 수 있습니다.
보험회사는 피보험자의 직업 또는 직무, 반려견의 나이, 건강상태 등에 따라
승낙여부를 결정하며, 부활(효력회복)을 거절하거나 보장의 일부를 제한할
수 있습니다. 이때 회사는 해지 전 발생한 보험금 지급사유를 이유로 부활
(효력회복)을 거절하지 않습니다.
보험계약대출
[보통약관 제36조]
보험계약자는 보험계약의 해약환급금 범위 내에서 보험계약대출을 받을 수 있습니다.
① 상환하지 않은 보험계약대출금 및 이자는 해약환급금 또는
보험금에서 차감될 수 있습니다.
② 순수보장성보험 등 보험상품 종류에 따라 보험계약대출이 제한될 수
있습니다.
③ 보험계약자는 대출신청 전에 보험계약대출이율을 반드시 확인하시기
바랍니다.
[예시 : 환급금 내역서]
해약환급금
공제금액
실수령액
원금 이자 계
1,000만원 500만원 5만원 505만원 495만원
14 / 182

[Page 16]
보험금 청구절차 및 서류
[보통약관 제7조, 제8조]
보험금은 청구서류 접수일부터 3영업일 이내에 지급하는 것이 원칙입니다.
단, 보험금 지급사유의 조사·확인이 필요한 경우 30영업일이 소요될 수 있습니다.
소액 보험금 청구시 진단서 제출이 면제되는 등 청구서류가 간소화되는 경
우도 있으니, 보험금청구 전에 보험회사에 제출서류를 확인하시기
바랍니다.
※ 소액 보험금 예시 : 신생아 입원비 청구시 50만원 이하 등
보험금 청구서류
구분 진단서
입∙퇴원
확인서
수술
확인서
통원
확인서
진단사실
확인서류
공통
사망
●
(사망진단서)
청구서
신분증
장해
●
(장해진단서)
진단 ●
●
(검사결과지 등)
입원 △ ●
수술 △ ●
실손 △
●
(입원시)
●
(수술시)
●
(통원시)
주) 보험사고의 종류, 내용 등에 따라 진료비 세부내역서 등 추가서류가 필요할 수 있습니다.
자세한 사항은 다음의「보험금 청구시 구비서류 안내」를 참고하세요
15 / 182

[Page 17]
보험금 청구시 구비서류 안내
"
